Step,external_noise_direct,external_noise_prefix,external_noise_direct_ma25,external_noise_prefix_ma25,self_noise_direct,self_noise_prefix,self_noise_direct_ma25,self_noise_prefix_ma25,random_noise_direct,random_noise_prefix,random_noise_direct_ma25,random_noise_prefix_ma25
21,0.7142857313156128,0.4833333194255829,0.6525910198688507,0.5058140599727631,0.6145833134651184,0.40625,0.6307823145389557,0.251875,0.6458333134651184,0.390625,0.6274999964237213,0.36125
22,0.6326530575752258,0.4166666567325592,0.6556525576114655,0.5061712026596069,0.5729166865348816,0.265625,0.630573982000351,0.24875,0.609375,0.34375,0.6304166615009308,0.37
23,0.5899999737739563,0.4107142984867096,0.6694869816303253,0.5122481250762939,0.640625,0.28125,0.6428656482696533,0.245625,0.6145833134651184,0.328125,0.645208328962326,0.3925
24,0.6346153616905212,0.4375,0.6802712953090668,0.5137865853309631,0.625,0.25,0.6555739831924439,0.249375,0.5833333134651184,0.328125,0.6560416615009308,0.40875
25,0.6354166865348816,0.53125,0.6946712958812714,0.5273580145835877,0.6666666865348816,0.234375,0.6699489831924439,0.256875,0.6302083134651184,0.4375,0.6731249952316284,0.425
26,0.7644230723381042,0.7708333134651184,0.6964212954044342,0.5328044438362122,0.75,0.265625,0.6709906482696533,0.25875,0.734375,0.453125,0.6752083277702332,0.43625
27,0.8509615659713745,0.6875,0.7021968066692352,0.5445663475990296,0.8072916865348816,0.40625,0.6775127553939819,0.26170833349227907,0.84375,0.546875,0.682083328962326,0.444375
28,0.5364583134651184,0.453125,0.7167379832267762,0.5579729413986206,0.4895833432674408,0.09375,0.6927210891246796,0.26608333349227903,0.5416666865348816,0.375,0.6968749952316284,0.461875
29,0.640625,0.546875,0.7205916786193848,0.56021653175354,0.6510416865348816,0.28125,0.6977210891246796,0.27108333349227903,0.640625,0.46875,0.700833330154419,0.476875
30,0.831632673740387,0.6833333373069763,0.7309762954711914,0.56521653175354,0.8112244606018066,0.25,0.709387754201889,0.26670833349227907,0.7916666865348816,0.5,0.7135416650772095,0.494375
31,0.7549019455909729,0.5,0.72898761510849,0.5669697785377502,0.6927083134651184,0.15625,0.706262754201889,0.2717083334922791,0.7708333134651184,0.5625,0.7124999976158142,0.500625
32,0.7777777910232544,0.625,0.7329993796348572,0.574881865978241,0.765625,0.5,0.7108460867404938,0.26983333349227906,0.7604166865348816,0.453125,0.7160416650772095,0.511875
33,0.7346938848495483,0.5833333134651184,0.7379993796348572,0.5804175806045532,0.7239583134651184,0.296875,0.716262754201889,0.27045833349227905,0.734375,0.53125,0.7202083325386047,0.519375
34,0.6150000095367432,0.4464285671710968,0.7439177465438843,0.5944175803661347,0.6197916865348816,0.25,0.726262754201889,0.26608333349227903,0.6145833134651184,0.4375,0.7289583325386048,0.530625
35,0.8703703880310059,0.574999988079071,0.7491998600959778,0.5992893767356873,0.796875,0.265625,0.7320960867404938,0.26420833349227907,0.8229166865348816,0.71875,0.7327083325386048,0.54
36,0.8774510025978088,0.5769230723381042,0.7557998609542846,0.6050036609172821,0.8541666865348816,0.21875,0.7360544192790985,0.26420833349227907,0.8489583134651184,0.65625,0.7377083325386047,0.551875
37,0.8450000286102295,0.7142857313156128,0.7631075549125671,0.6091703283786774,0.859375,0.34375,0.7420960867404938,0.26795833349227904,0.875,0.546875,0.7464583325386047,0.565625
38,0.699999988079071,0.5892857313156128,0.7724985790252685,0.6070869946479798,0.6614583134651184,0.296875,0.7489710867404937,0.27483333349227906,0.6770833134651184,0.515625,0.7545833325386048,0.575
39,0.675000011920929,0.6607142686843872,0.7753831934928894,0.5995869946479797,0.6734693646430969,0.1833333373069763,0.750637754201889,0.27733333349227907,0.6666666865348816,0.484375,0.7566666650772095,0.585625
40,0.8235294222831726,0.692307710647583,0.7730428433418274,0.5920869946479798,0.8229166865348816,0.3125,0.7498044192790985,0.27295833349227905,0.8020833134651184,0.6875,0.7524999976158142,0.593125
41,0.7598039507865906,0.5769230723381042,0.7839374518394471,0.5993466091156006,0.7083333134651184,0.25,0.7616794180870056,0.2873333334922791,0.6979166865348816,0.65625,0.762708330154419,0.60625
42,0.8653846383094788,0.625,0.788312451839447,0.6010430383682251,0.8645833134651184,0.203125,0.7673044180870057,0.28608333349227905,0.8541666865348816,0.71875,0.7662499976158142,0.618125
43,0.7049999833106995,0.5892857313156128,0.7814471459388733,0.5901382768154144,0.6614583134651184,0.3125,0.7629804396629334,0.28858333349227905,0.671875,0.625,0.7618749976158142,0.623125
44,0.8650000095367432,0.6785714030265808,0.7738000869750976,0.5870613539218903,0.859375,0.203125,0.7581887745857239,0.29358333349227905,0.8385416865348816,0.65625,0.7539583325386048,0.621875
45,0.75,0.65625,0.7769746899604797,0.5845613539218902,0.7135416865348816,0.234375,0.7619387745857239,0.28545833349227906,0.734375,0.5625,0.7577083325386047,0.635
46,0.8622449040412903,0.8333333134651184,0.7797437977790832,0.5766126370429993,0.8645833134651184,0.296875,0.7646471095085144,0.28608333349227905,0.8645833134651184,0.671875,0.759375,0.645625
47,0.7647058963775635,0.5384615659713745,0.7930284118652344,0.5854221618175507,0.71875,0.21875,0.7777721095085144,0.29170833349227904,0.703125,0.578125,0.7722916674613952,0.65625
48,0.7549999952316284,0.5535714030265808,0.7869635963439942,0.5855471622943879,0.7395833134651184,0.28125,0.7742304420471191,0.29108333349227905,0.7395833134651184,0.625,0.7691666674613953,0.653125
49,0.817307710647583,0.5416666865348816,0.7880655550956726,0.5960416686534882,0.7760416865348816,0.34375,0.7763137745857239,0.29920833349227904,0.8020833134651184,0.671875,0.7712500023841858,0.66125
50,0.870192289352417,0.4791666567325592,0.7830410647392273,0.5901369059085846,0.8385416865348816,0.40625,0.7704804420471192,0.29858333349227906,0.8333333134651184,0.671875,0.7639583349227905,0.6675
51,0.8365384340286255,0.5833333134651184,0.7892718338966369,0.5948988091945648,0.7916666865348816,0.328125,0.7792304420471191,0.30483333349227903,0.7864583134651184,0.71875,0.772916669845581,0.67875
52,0.7924528121948242,0.5,0.7955371403694153,0.6004702389240265,0.7864583134651184,0.296875,0.7827083349227906,0.313125,0.7395833134651184,0.734375,0.7781250023841858,0.688125
53,0.8088235259056091,0.6346153616905212,0.794636778831482,0.600777930021286,0.7864583134651184,0.453125,0.7804039120674133,0.3079583334922791,0.796875,0.703125,0.7777083373069763,0.6875
54,0.75,0.5892857313156128,0.7934899044036865,0.5986100971698761,0.7916666865348816,0.25,0.7810289120674133,0.30670833349227905,0.7291666865348816,0.765625,0.777916669845581,0.6875
55,0.6600000262260437,0.4107142984867096,0.7907112526893616,0.5949434316158295,0.703125,0.3125,0.7768622469902039,0.31170833349227905,0.6822916865348816,0.625,0.7743750023841858,0.685625
